콘텐츠제목,주소,대표이미지(원본),대표이미지(썸네일),콘텐츠ID,콘텐츠타입ID,교과서속여행지,상세주소,대분류,중분류,소분류,저작권유형,GPSX좌표,GPSY좌표 ,MAP레벨,등록일,수정일,전화번호,지역코드,시군구코드
신지명사십리해수욕장,전라남도 완도군 신지면,,,147317,12,0,,A01,A0101,A01011200,,126.8059708719,34.3271484387,6,20030704090000,20240605173404,,38,18
우이도 돈목해수욕장,전라남도 신안군 도초면 돈목길 33-1,,,127764,12,0,,A01,A0101,A01011200,,125.8272143193,34.6072845019,6,20030813090000,20240605172839,,38,12
덕흥해수욕장,전라남도 고흥군 동일면 덕흥양쪽길 118,,,126888,12,0,,A01,A0101,A01011200,,127.4586172207,34.5271259078,6,20030729090000,20240605144702,,38,2
나로우주해수욕장,전라남도 고흥군 봉래면 신금길 30-23,,,127885,12,0,(봉래면),A01,A0101,A01011200,,127.4687817102,34.4672022218,6,20031020090000,20240605144411,,38,2
봉평해수욕장,경상북도 울진군 죽변면 울진북로 1166,,,126099,12,0,,A01,A0101,A01011200,,129.4130339501,37.0429186608,6,20030704090000,20240605143643,,35,18
자은 분계해수욕장,전라남도 신안군 자은면 자은서부2길 669,,,127757,12,0,,A01,A0101,A01011200,,125.9810139529,34.8708766886,6,20030813090000,20240605111028,,38,12
황포해수욕장,경상남도 거제시 장목면 황포1길,,,126589,12,0,,A01,A0101,A01011200,,128.6740567675,35.0201087783,6,20040120090000,20240605105440,,36,1
일광해수욕장,부산광역시 기장군 일광면 삼성3길 17,,,126098,12,0,,A01,A0101,A01011200,,129.2336848474,35.2599699714,6,20041231090000,20240605103703,,6,3
칠포해수욕장,경상북도 포항시 북구 흥해읍 해안로,,,126092,12,0,,A01,A0101,A01011200,,129.4005538393,36.1319610157,6,20040210090000,20240605103431,,35,23
고래불해수욕장,경상북도 영덕군 병곡면 고래불로 394,,,126103,12,0,,A01,A0101,A01011200,,129.4103503413,36.5988498611,6,20031222090000,20240605102608,,35,12
수륙해수욕장,경상남도 통영시 산양읍 삼칭이해안길,,,127867,12,1,,A01,A0101,A01011200,,128.4391269985,34.8192714651,6,20040107090000,20240605101716,,36,17
물안해수욕장,경상남도 거제시 하청면 칠천로 973-1,,,1622212,12,0,,A01,A0101,A01011200,,128.6524866723,35.0108510911,6,20120504185647,20240604172445,,36,1
금일명사십리해수욕장,전라남도 완도군 금일읍 금일로 886,,,126303,12,0,,A01,A0101,A01011200,,127.0568710231,34.3318326286,6,20030704090000,20240604165658,,38,18
암태 추포해수욕장,전라남도 신안군 암태면 추엽길 58-59,,,126723,12,0,,A01,A0101,A01011200,,126.0674578474,34.8053493653,6,20030813090000,20240604164849,,38,12
익금해수욕장,전라남도 고흥군 금산면 익금해변길 32,,,127884,12,0,,A01,A0101,A01011200,,127.1464302382,34.4303286750,6,20030731090000,20240604164454,,38,2
비진도해수욕장,경상남도 통영시 한산면 비진리,,,129589,12,0,,A01,A0101,A01011200,,128.4599166464,34.7212938928,6,20070713090000,20240604161915,,36,17
진산리해수욕장,전라남도 완도군 소안면 진산리,,,129548,12,0,392-3,A01,A0101,A01011200,,126.6496642147,34.1309205697,6,20070507090000,20240603091330,,38,18
봉암해수욕장,경상남도 통영시 한산면 봉암2길 46-42,,,127099,12,0,,A01,A0101,A01011200,,128.5109334426,34.7590711418,6,20040107090000,20240527144528,,36,17
톱머리 해수욕장,전라남도 무안군 망운면 톱머리길 66,,,126275,12,0,,A01,A0101,A01011200,,126.3870256467,34.9681584253,6,20030704090000,20240521131725,,38,9
속초해수욕장 대관람차(속초아이),강원특별자치도 속초시 청호해안길 2,,,2814180,12,,,A02,A0203,A02030400,,128.6027491115,38.1907759041,6,20220329105334,20240509113047,,32,5
해수욕장펜션,경상남도 통영시 산양읍 삼칭이해안길 226-1,,,2580971,32,,,B02,B0201,B02010700,,128.4389714341,34.8201297001,6,20181220233224,20240223144621,010-2369-4422,36,17
호도해수욕장,충청남도 보령시 오천면 녹도1길 3,,,126683,12,0,,A01,A0101,A01011200,,126.2664594884,36.2676807380,6,20031209090000,20240202144056,,34,5
