콘텐츠제목,콘텐츠ID,콘텐츠타입ID
죽림해수욕장,126082,12
고사포해수욕장,127865,12
구례포해수욕장,127292,12
신두리해수욕장,128908,12
파도리해수욕장,127864,12
청포대해수욕장,125852,12
바람아래해수욕장,128895,12
샛별해수욕장,128897,12
밧개해수욕장,128901,12
남애3리해수욕장,2913902,12
"장호해수욕장(장호항, 장호해변)",125711,12
대진해수욕장,126104,12
대천해수욕장캠핑장,2734212,28
두곡해수욕장야영장,2747027,28
백도해수욕장오토캠핑장,2729401,28
주문진해수욕장 향호야영장,2791427,28
구름포해수욕장카라반,2739410,28
곽지해수욕장 (곽지과물해변),127870,12
무창포해수욕장 오토캠핑장,2747067,28
옥계해수욕장 야영장,2791428,28
원평해수욕장,127728,12
죽천해수욕장,2912974,12
금능해수욕장 야영장,2907715,28
초곡해수욕장,127729,12
화진해수욕장 마을번영회 야영장,2792317,28
북분리해수욕장,125682,12
십리포해수욕장야영장,2743252,28
용두해수욕장숲속야영장,2761982,28
통리해수욕장,129547,12
모사금해수욕장,128753,12
안악해수욕장,129232,12
염포해수욕장,1623658,12
위도해수욕장,264528,12
도초 시목해수욕장,127766,12
월포해수욕장야영장,2749569,28
망양정해수욕장,126100,12
나곡해수욕장,129630,12
구산해수욕장,126102,12
구룡포해수욕장,127214,12
후포해수욕장,129015,12
실미해수욕장,129253,12
장사해수욕장,126097,12
남애1리해수욕장,2916001,12
가계해수욕장,126273,12
신흥해수욕장,129542,12
연곡해변(연곡해수욕장),125698,12
안인해변(안인해수욕장),125697,12
등명해변(등명해수욕장),125695,12
궁평리 해수욕장,1932009,12
상록해수욕장,126278,12
조금나루해수욕장,126616,12
용화해수욕장 야영장,2752748,28
벌천포해수욕장,2660694,12
사촌해수욕장야영장,2752724,28
해수욕장과 절경 산책로를 품은 ‘보물섬’,2357525,25
서해안 해수욕장을 따라 여행하다,1938184,25
